,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago,AgeOfTweet,TweetAgeType
295,taylorswift13,11/08/2017,Forgot to show the back of the Target magazines 😂 on Friday you can get your hands on this quality reading material… https://t.co/r626FRMtI2,0.4404,0.124,0.062,0.814,5,234,2
296,taylorswift13,11/08/2017,"3 days until #reputation. 

https://t.co/oExj2XFGvH https://t.co/sjr8hMqPxV",0.0,0.0,0.0,1.0,4,235,2
297,taylorswift13,11/07/2017,"Two unique magazines. Poetry, paintings, lyrics &amp; polaroids.
Available Friday: https://t.co/fPhRA1wB6F https://t.co/frFIILyrqa",0.0,0.0,0.0,1.0,3,235,2
298,taylorswift13,11/07/2017,Inside the reputation Secret Sessions - https://t.co/aotQtPBzer,0.0,0.0,0.0,1.0,2,236,2
299,taylorswift13,11/03/2017,The #CallItWhatYouWant lyric video is out now! Watch it here: https://t.co/FKYJ3dADib,0.0,0.0,0.0,1.0,1,240,2
300,ladygaga,06/29/2018,RT @THWofD: Cynthia Germanotta (@momgerm) explains what she learned about #mentalhealth from @ladygaga and why the @BTWFoundation has teame…,0.0,0.0,0.0,1.0,100,1,1
301,ladygaga,06/24/2018,#Pride Dance for your life. #equality https://t.co/8WZIHGUuMf,0.0,0.0,0.0,1.0,99,6,1
302,ladygaga,06/24/2018,#HappyPrideMonth #pride #equality https://t.co/lq5kjeGQs2,0.0,0.0,0.0,1.0,98,6,1
303,ladygaga,06/24/2018,I love the lgbtq 🏳️‍🌈 community more than I can say. So I’ll sing it instead. Forever. And that’s a NY promise. One… https://t.co/CaojJolSxD,0.7579,0.245,0.0,0.755,97,6,1
304,ladygaga,06/24/2018,HAPPY PRIDE THIS IS SUCH A WONDERFUL TIME TO CELEBRATE https://t.co/ioplYXfFZO,0.9547,0.733,0.0,0.267,96,6,1
305,ladygaga,06/24/2018,"Loved performing and watching @itstonybennett sing last night. He’s a dream. That’s showbiz, baby! https://t.co/8YmhwIr07d",0.7345,0.34,0.0,0.66,95,6,1
306,ladygaga,06/22/2018,Untitled Original 11383 John Coltrane WOW 🎷🎼,0.7804,0.577,0.0,0.423,94,9,1
307,ladygaga,06/21/2018,RT @Variety: Exclusive Interview: @ladygaga on MTV documentary win and reinventing herself through the pain https://t.co/87R9pZmfiq https:/…,0.25,0.235,0.146,0.619,93,10,1
308,ladygaga,06/19/2018,So happy that #GagaFiveFootTwo won Best Music Documentary at the #MTVAwards! Thank u Little Monsters &amp; @MTV!! 😘 https://t.co/Hba41WNgzM,0.9588,0.546,0.0,0.454,92,12,1
309,ladygaga,06/17/2018,"RT @AMENARTPOP: 7 years ago today, Lady Gaga performed on The Paul O'Grady Show in London, UK. https://t.co/JiL7Q54jdg",0.0,0.0,0.0,1.0,91,13,1
310,ladygaga,06/11/2018,"RT @allyslays38: I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way
Don't hide yourself…",0.4249,0.233,0.146,0.621,90,19,1
311,ladygaga,06/11/2018,"My mother and I, as well as the whole @BTWFoundation wish you a HAPPY PRIDE !!! 🎉🌈💕 https://t.co/mIz0qVbyje",0.9223,0.505,0.0,0.495,89,19,1
312,ladygaga,06/06/2018,"It’s a dream come true and an honor to be a part of this incredible movie. Bradley's ability as a director, actor a… https://t.co/cgL9ROMGFn",0.8519,0.377,0.0,0.623,88,24,1
313,ladygaga,06/06/2018,RT @starisbornmovie: Lady Gaga. #AStarIsBorn https://t.co/pYtRPed2bv,0.0,0.0,0.0,1.0,87,24,1
314,ladygaga,06/06/2018,RT @starisbornmovie: Bradley Cooper. #AStarIsBorn https://t.co/JMAhnjpxGL,0.0,0.0,0.0,1.0,86,24,1
